[00:03:31] [Server thread/INFO]: Jimmy[local] logged in with entity id 88548 at (481.69999998807907, 86.1875, 1309.699999988079)
[00:03:31] [Server thread/INFO]: Jimmy joined the game
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 18 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 115, 243, 181]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 117, 243, 179]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 11 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 10 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 119, 243, 177]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 9 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 8 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 8 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 8 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 8 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 8 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 7 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 7 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 7 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 7 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 7 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 12 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 5 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 5 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 5 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 5 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 5 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 5 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 4 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:39] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 127, 243, 185]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Zombified Piglin]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 144 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 13 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 12 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 33 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 12 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 13 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 137, 239, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 138, 244, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 138, 239, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 138, 240, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 138, 244, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 138, 244, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 242, 202]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 244, 202]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 240, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 241, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 242, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 243, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 244, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 247, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 239, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 240, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 241, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 240, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 241, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 242, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 243, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 244, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 247, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 242, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 244, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 139, 248, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 20 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 140, 241, 203]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 140, 241, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 140, 242, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 140, 241, 205]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 140, 242, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 140, 243, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 244, 200]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 240, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 241, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 242, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 243, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 244, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 247, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 242, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 240, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 241, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 242, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 243, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 244, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 141, 247, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 239, 199]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 239, 200]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 240, 200]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 244, 200]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 239, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 240, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 241, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 240, 202]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 241, 202]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 242, 202]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 3 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 241, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 240, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 241, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 242, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 239, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 240, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 142, 241, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 6 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 244, 200]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 240, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 241, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 242, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 243, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 244, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 247, 201]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 241, 202]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 240, 204]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 241, 206]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 240, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 241, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 242, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 243, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 244, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Successfully filled 2 block(s)]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Changed the block at 143, 247, 207]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart with Hopper]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart with Hopper]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:40] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Minecart]
[00:38:41] [Server thread/WARN]: Tried to add entity minecraft:item but it was marked as removed already
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Air]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
[00:38:41] [Server thread/INFO]: [FxxkingPanda23: Summoned new Experience Orb]
